,Unnamed: 0,year_ceremony,category,name,film,winner,single_award,race
494,3480,2007 - 13th Annual,FEMALE SUPPORTING ROLE,CATE BLANCHETT,NOTES ON A SCANDAL,FALSE,TRUE,White
495,3901,2005 - 11th Annual,FEMALE SUPPORTING ROLE,CATE BLANCHETT,THE AVIATOR,TRUE,TRUE,White
496,4457,2002 - 8th Annual,FEMALE SUPPORTING ROLE,CATE BLANCHETT,BANDITS,FALSE,TRUE,White
497,5015,1999 - 5th Annual,FEMALE LEAD ROLE,CATE BLANCHETT,ELIZABETH,FALSE,TRUE,White
498,1124,2016 - 22nd Annual,FEMALE LEAD,SARAH SILVERMAN,I SMILE BACK,FALSE,TRUE,White
499,1125,2016 - 22nd Annual,FEMALE LEAD,BRIE LARSON,ROOM,TRUE,TRUE,White
500,1126,2016 - 22nd Annual,FEMALE LEAD,HELEN MIRREN,WOMAN IN GOLD,FALSE,TRUE,White
501,1131,2016 - 22nd Annual,FEMALE SUPPORT,HELEN MIRREN,TRUMBO,FALSE,TRUE,White
502,1706,2014 - 20th Annual,FEMALE TV MOVIE OR MINISERIES,HELEN MIRREN,PHIL SPECTOR,TRUE,TRUE,White
503,1963,2013 - 19th Annual,FEMALE LEAD ROLE,HELEN MIRREN,HITCHCOCK,FALSE,TRUE,White
504,2703,2010 - 16th Annual,FEMALE LEAD ROLE,HELEN MIRREN,THE LAST STATION,FALSE,TRUE,White
505,3474,2007 - 13th Annual,FEMALE LEAD ROLE,HELEN MIRREN,THE QUEEN,TRUE,TRUE,White
506,3482,2007 - 13th Annual,FEMALE TV MOVIE OR MINISERIES,HELEN MIRREN,ELIZABETH I,TRUE,TRUE,White
507,4075,2004 - 10th Annual,FEMALE TV MOVIE OR MINISERIES,HELEN MIRREN,TENNESEE WILLIAMS' THE ROMAN SPRING OF MRS. STONE,FALSE,TRUE,White
508,4268,2003 - 9th Annual,FEMALE TV MOVIE OR MINISERIES,HELEN MIRREN,DOOR TO DOOR,FALSE,TRUE,White
509,4458,2002 - 8th Annual,FEMALE SUPPORTING ROLE,HELEN MIRREN,GOSFORD PARK,TRUE,TRUE,White
510,4850,2000 - 6th Annual,FEMALE TV MOVIE OR MINISERIES,HELEN MIRREN,THE PASSION OF AYN RAND,FALSE,TRUE,White
511,1127,2016 - 22nd Annual,FEMALE SUPPORT,ROONEY MARA,CAROL,FALSE,TRUE,White
512,1128,2016 - 22nd Annual,FEMALE SUPPORT,RACHEL McADAMS,SPOTLIGHT,FALSE,TRUE,White
513,1129,2016 - 22nd Annual,FEMALE SUPPORT,KATE WINSLET,STEVE JOBS,FALSE,TRUE,White
514,2247,2012 - 18th Annual,FEMALE TV MOVIE OR MINISERIES,KATE WINSLET,MILDRED PIERCE,TRUE,TRUE,White
515,2948,2009 - 15th Annual,FEMALE LEAD ROLE,KATE WINSLET,REVOLUTIONARY ROAD,FALSE,TRUE,White
516,2952,2009 - 15th Annual,FEMALE SUPPORTING ROLE,KATE WINSLET,THE READER,TRUE,TRUE,White
517,3471,2007 - 13th Annual,FEMALE LEAD ROLE,KATE WINSLET,LITTLE CHILDREN,FALSE,TRUE,White
518,3893,2005 - 11th Annual,FEMALE LEAD ROLE,KATE WINSLET,ETERNAL SUNSHINE OF THE SPOTLESS MIND,FALSE,TRUE,White
519,4652,2001 - 7th Annual,FEMALE SUPPORTING ROLE,KATE WINSLET,QUILLS,FALSE,TRUE,White
520,5202,1998 - 4th Annual,FEMALE LEAD ROLE,KATE WINSLET,TITANIC,FALSE,TRUE,White
521,5557,1996 - 2nd Annual,FEMALE SUPPORTING ROLE,KATE WINSLET,SENSE AND SENSIBILITY,TRUE,TRUE,White
522,1130,2016 - 22nd Annual,FEMALE SUPPORT,ALICIA VIKANDER,THE DANISH GIRL,TRUE,TRUE,White
523,1132,2016 - 22nd Annual,FEMALE TV MOVIE OR MINISERIES,QUEEN LATIFAH,Bessie,TRUE,TRUE,Black
524,3220,2008 - 14th Annual,FEMALE TV MOVIE OR MINISERIES,QUEEN LATIFAH,LIFE SUPPORT,TRUE,TRUE,Black
525,4265,2003 - 9th Annual,FEMALE SUPPORTING ROLE,QUEEN LATIFAH,CHICAGO,FALSE,TRUE,Black
526,1134,2016 - 22nd Annual,FEMALE TV MOVIE OR MINISERIES,CHRISTINA RICCI,The Lizzie Borden Chronicles,FALSE,TRUE,White
527,1136,2016 - 22nd Annual,FEMALE TV MOVIE OR MINISERIES,KRISTEN WIIG,The Spoils Before Dying,FALSE,TRUE,White
528,1137,2016 - 22nd Annual,LIFE ACHIEVEMENT,CAROL BURNETT,,TRUE,TRUE,White
529,1138,2016 - 22nd Annual,MALE COMEDY,LOUIS C.K.,LOUIE,FALSE,TRUE,White
530,1423,2015 - 21st Annual,MALE ACTOR IN A COMEDY SERIES,LOUIS C.K.,LOUIE,FALSE,TRUE,White
531,1980,2013 - 19th Annual,MALE COMEDY SERIES,LOUIS C.K.,LOUIE,FALSE,TRUE,White
532,1141,2016 - 22nd Annual,MALE COMEDY,JIM PARSONS,THE BIG BANG THEORY,FALSE,TRUE,White
533,1427,2015 - 21st Annual,MALE ACTOR IN A COMEDY SERIES,JIM PARSONS,THE BIG BANG THEORY,FALSE,TRUE,White
534,1714,2014 - 20th Annual,MALE COMEDY SERIES,JIM PARSONS,THE BIG BANG THEORY,FALSE,TRUE,White
535,1983,2013 - 19th Annual,MALE COMEDY SERIES,JIM PARSONS,THE BIG BANG THEORY,FALSE,TRUE,White
536,1149,2016 - 22nd Annual,MALE DRAMA,JON HAMM,Mad Men,FALSE,TRUE,White
537,1150,2016 - 22nd Annual,MALE DRAMA,JON HAMM,Mad Men,FALSE,TRUE,White
538,1987,2013 - 19th Annual,MALE DRAMA SERIES,JON HAMM,MAD MEN,FALSE,TRUE,White
539,2484,2011 - 17th Annual,MALE DRAMA SERIES,JON HAMM,MAD MEN,FALSE,TRUE,White
540,2723,2010 - 16th Annual,MALE DRAMA SERIES,JON HAMM,MAD MEN,FALSE,TRUE,White
541,2969,2009 - 15th Annual,MALE DRAMA SERIES,JON HAMM,MAD MEN,FALSE,TRUE,White
542,3234,2008 - 14th Annual,MALE DRAMA SERIES,JON HAMM,MAD MEN,FALSE,TRUE,White
