,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,percent_white,percent_black,percent_asian,percent_hispanic,percent_other
3264,tt1262416,Scream 4,Scream 4,2011,2011-04-15,"Horror, Mystery",111,USA,English,Wes Craven,Kevin Williamson,Dimension Films,"Lucy Hale, Roger Jackson, Shenae Grimes-Beech, Dane Farwell, Anna Paquin, Kristen Bell, Aimee Teegarden, Britt Robertson, Neve Campbell, Alison Brie, David Arquette, Courteney Cox, Hayden Panettiere, Emma Roberts, Marielle Jaffe","Ten years have passed, and Sidney Prescott, who has put herself back together thanks in part to her writing, is visited by the Ghostface Killer.",6.1,125086,$ 40000000,$ 38180928,$ 97231420,52.0,558.0,434.0,0.9333333333333332,0.06666666666666668,0.0,0.0,0.0
3265,tt1262981,Il papà migliore del mondo,World's Greatest Dad,2009,2010-09-24,"Comedy, Drama",99,USA,English,Bobcat Goldthwait,Bobcat Goldthwait,Magnolia Pictures,"Robin Williams, Daryl Sabara, Morgan Murphy, Naomi Glick, Dan Spencer, Geoff Pierson, Henry Simmons, Zach Sanchez-Vitale, Alexie Gilmore, Evan Martin, Ellyn Jameson, Michael Thomas Moore, Ray Buckley, Jermaine Williams, Lorraine Nicholson","When his son's body is found in a humiliating accident, a lonely high school teacher inadvertently attracts an overwhelming amount of community and media attention after covering up the truth with a phony suicide note.",6.9,36809,,$ 221805,$ 221805,69.0,148.0,129.0,0.8666666666666667,0.13333333333333333,0.0,0.0,0.0
3266,tt1263670,Crazy Heart,Crazy Heart,2009,2010-03-05,"Drama, Music, Romance",112,USA,"English, Spanish",Scott Cooper,"Scott Cooper, Thomas Cobb",Fox Searchlight Pictures,"Jeff Bridges, James Keane, Anna Felix, Paul Herman, Tom Bower, Ryan Bingham, Beth Grant, Rick Dial, Maggie Gyllenhaal, Debrianna Mansini, Jerry Handy, Jack Nation, Ryil Adamson, J. Michael Oliva, David Manzanares",A faded country music musician is forced to reassess his dysfunctional life during a doomed romance that also inspires him.,7.2,82908,$ 7000000,$ 39464306,$ 47405566,83.0,249.0,281.0,0.8666666666666667,0.06666666666666668,0.0,0.06666666666666668,0.0
3267,tt1265990,The Roommate - Il terrore ti dorme accanto,The Roommate,2011,2011-02-04,"Drama, Mystery, Thriller",94,USA,English,Christian E. Christiansen,Sonny Mallhi,Screen Gems,"Leighton Meester, Minka Kelly, Cam Gigandet, Aly Michalka, Danneel Ackles, Frances Fisher, Tomas Arana, Billy Zane, Nina Dobrev, Matt Lanter, Kat Graham, Johannes Raassina, Cameron Fisher Brousseau, Evan Michael Brown, Alex Meraz","When college freshman Sara arrives on campus for the first time, she befriends her roommate, Rebecca, unaware that the girl is becoming dangerously obsessed with her.",4.8,36091,$ 16000000,$ 37300000,$ 40492652,23.0,152.0,140.0,0.8666666666666667,0.0,0.0,0.06666666666666668,0.06666666666666668
3268,tt1266029,Nowhere Boy,Nowhere Boy,2009,2009-12-25,"Biography, Drama, Music",98,"UK, Canada","English, French",Sam Taylor-Johnson,Matt Greenhalgh,Ecosse Films,"Aaron Taylor-Johnson, Kristin Scott Thomas, David Threlfall, Josh Bolt, Ophelia Lovibond, Kerrie Hayes, Angela Walsh, Paul Ritter, Richard Syms, Anne-Marie Duff, James Johnson, Alex Ambrose, Angelica Jopling, Abby Greenhalgh, David Morrissey",A chronicle of,7.1,34586,,$ 1457248,$ 6577779,67.0,91.0,209.0,0.9333333333333332,0.0,0.0,0.0,0.06666666666666668
3269,tt1267297,Hercules: Il guerriero,Hercules,2014,2014-08-13,"Action, Adventure, Fantasy",98,"USA, Hungary",English,Brett Ratner,"Ryan J. Condal, Evan Spiliotopoulos",Paramount Pictures,"Dwayne Johnson, Ian McShane, John Hurt, Rufus Sewell, Aksel Hennie, Ingrid Bolsø Berdal, Reece Ritchie, Joseph Fiennes, Tobias Santelmann, Peter Mullan, Rebecca Ferguson, Isaac Andrews, Joe Anderson, Stephen Peacocke, Nicholas Moss","Having endured his legendary twelve labors, Hercules, the Greek demigod, has his life as a sword-for-hire tested when the King of Thrace and his daughter seek his aid in defeating a tyrannical warlord.",6.0,143777,$ 100000000,$ 72688614,$ 244819862,47.0,301.0,262.0,0.8,0.13333333333333333,0.0,0.0,0.06666666666666668
3270,tt1268799,"Harold & Kumar, un Natale da ricordare",A Very Harold & Kumar 3D Christmas,2011,2011-11-04,"Adventure, Comedy",90,USA,"English, Spanish",Todd Strauss-Schulson,"Jon Hurwitz, Hayden Schlossberg",New Line Cinema,"Patton Oswalt, Isabella Gielniak, Kal Penn, Austin Bickel, Inga R. Wilson, John Cho, Bobby Lee, Thomas Lennon, Amir Blumenfeld, Paula Garcés, Danny Trejo, Marvin Cruz, Allyson Lengers, Gabriel Anderson, Eric Kissack","Six years after their Guantanamo Bay adventure, stoner buds Harold Lee and Kumar Patel cause a holiday fracas by inadvertently burning down Harold's father-in-law's prize Christmas tree.",6.3,64589,$ 19000000,$ 35061031,$ 36192775,61.0,99.0,167.0,0.6,0.0,0.2,0.2,0.0
3271,tt1270262,The Devil's Double,The Devil's Double,2011,2011-09-08,"Biography, Drama, Thriller",109,"Belgium, Netherlands",English,Lee Tamahori,"Michael Thomas, Latif Yahia",Corsan,"Dominic Cooper, Ludivine Sagnier, Raad Rawi, Philip Quast, Mimoun Oaïssa, Khalid Laith, Dar Salim, Nasser Memarzia, Mem Ferda, Pano Masti, Akin Gazi, Stewart Scudamore, Amrita Acharia, Elektra Anastasi, Amber Rose Revah",A chilling vision of the House of Saddam Hussein comes to life through the eyes of the man who was forced to become the double of Hussein's sadistic son.,7.1,59707,$ 19100000,$ 1361512,$ 5728213,52.0,143.0,161.0,0.7333333333333333,0.13333333333333333,0.0,0.0,0.13333333333333333
3272,tt1270286,To Save a Life,To Save a Life,2009,2010-11-11,Drama,120,USA,English,Brian Baugh,"Brian Baugh, Jim Britts",New Song Pictures,"Randy Wayne, Deja Kreutzberg, Joshua Weigel, Steven Crowder, D. David Morin, Sean Michael Afable, Bubba Lewis, Robert Bailey Jr., Kimberly Daugherty, Arjay Smith, Orin Mozon, Lamont Thompson, Trinity Scott Brown, Janora McDuffie, Laura Black","After a childhood friend's death, Jake Taylor, an all-star athlete must change his life - and sacrifice his dreams to save the lives of others.",6.9,5362,$ 500000,$ 3777210,$ 3824868,19.0,59.0,21.0,0.7333333333333333,0.2,0.0,0.06666666666666668,0.0
3273,tt1270761,Non avere paura del buio,Don't Be Afraid of the Dark,2010,2012-01-13,"Fantasy, Horror, Thriller",99,"USA, Australia, Mexico",English,Troy Nixey,"Guillermo del Toro, Matthew Robbins",Miramax,"Bruce Gleeson, Eddie Ritchard, Garry McDonald, Bailee Madison, Carolyn Shakespeare-Allen, Katie Holmes, Guy Pearce, Jack Thompson, Julia Blake, David Tocci, Lance Drisdale, Nicholas Bell, Libby Gott, James Mackay, Emilia Burns",A young girl sent to live with her father and his new girlfriend believes that she has released creatures from a sealed ash pit in the basement of her new home.,5.6,46319,$ 25000000,$ 24046682,$ 38269529,56.0,274.0,305.0,0.8666666666666667,0.06666666666666668,0.0,0.0,0.06666666666666668
