year_film,year_ceremony,ceremony,category,name,film,winner,race
1960,1961,33,ACTOR IN A LEADING ROLE,Laurence Olivier,The Entertainer,FALSE,white
1960,1961,33,ACTOR IN A LEADING ROLE,Spencer Tracy,Inherit the Wind,FALSE,white
1961,1962,34,ACTOR IN A LEADING ROLE,Charles Boyer,Fanny,FALSE,white
1961,1962,34,ACTOR IN A LEADING ROLE,Paul Newman,The Hustler,FALSE,white
1961,1962,34,ACTOR IN A LEADING ROLE,Maximilian Schell,Judgment at Nuremberg,TRUE,white
1961,1962,34,ACTOR IN A LEADING ROLE,Spencer Tracy,Judgment at Nuremberg,FALSE,white
1961,1962,34,ACTOR IN A LEADING ROLE,Stuart Whitman,The Mark,FALSE,white
1962,1963,35,ACTOR IN A LEADING ROLE,Burt Lancaster,Birdman of Alcatraz,FALSE,white
1962,1963,35,ACTOR IN A LEADING ROLE,Jack Lemmon,Days of Wine and Roses,FALSE,white
1962,1963,35,ACTOR IN A LEADING ROLE,Marcello Mastroianni,Divorce--Italian Style,FALSE,white
1962,1963,35,ACTOR IN A LEADING ROLE,Peter O'Toole,Lawrence of Arabia,FALSE,white
1962,1963,35,ACTOR IN A LEADING ROLE,Gregory Peck,To Kill a Mockingbird,TRUE,white
1963,1964,36,ACTOR IN A LEADING ROLE,Albert Finney,Tom Jones,FALSE,white
1963,1964,36,ACTOR IN A LEADING ROLE,Richard Harris,This Sporting Life,FALSE,white
1963,1964,36,ACTOR IN A LEADING ROLE,Rex Harrison,Cleopatra,FALSE,white
1963,1964,36,ACTOR IN A LEADING ROLE,Paul Newman,Hud,FALSE,white
1963,1964,36,ACTOR IN A LEADING ROLE,Sidney Poitier,Lilies of the Field,TRUE,black
1964,1965,37,ACTOR IN A LEADING ROLE,Richard Burton,Becket,FALSE,white
1964,1965,37,ACTOR IN A LEADING ROLE,Rex Harrison,My Fair Lady,TRUE,white
1964,1965,37,ACTOR IN A LEADING ROLE,Peter O'Toole,Becket,FALSE,white
1964,1965,37,ACTOR IN A LEADING ROLE,Anthony Quinn,Zorba the Greek,FALSE,hispanic
1964,1965,37,ACTOR IN A LEADING ROLE,Peter Sellers,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,FALSE,white
1965,1966,38,ACTOR IN A LEADING ROLE,Richard Burton,The Spy Who Came In from the Cold,FALSE,white
1965,1966,38,ACTOR IN A LEADING ROLE,Lee Marvin,Cat Ballou,TRUE,white
1965,1966,38,ACTOR IN A LEADING ROLE,Laurence Olivier,Othello,FALSE,white
1965,1966,38,ACTOR IN A LEADING ROLE,Rod Steiger,The Pawnbroker,FALSE,white
1965,1966,38,ACTOR IN A LEADING ROLE,Oskar Werner,Ship of Fools,FALSE,white
1966,1967,39,ACTOR IN A LEADING ROLE,Alan Arkin,The Russians Are Coming The Russians Are Coming,FALSE,white
1966,1967,39,ACTOR IN A LEADING ROLE,Richard Burton,Who's Afraid of Virginia Woolf?,FALSE,white
1966,1967,39,ACTOR IN A LEADING ROLE,Michael Caine,Alfie,FALSE,white
1966,1967,39,ACTOR IN A LEADING ROLE,Steve McQueen,The Sand Pebbles,FALSE,black
1966,1967,39,ACTOR IN A LEADING ROLE,Paul Scofield,A Man for All Seasons,TRUE,white
1967,1968,40,ACTOR IN A LEADING ROLE,Warren Beatty,Bonnie and Clyde,FALSE,white
1967,1968,40,ACTOR IN A LEADING ROLE,Dustin Hoffman,The Graduate,FALSE,white
1967,1968,40,ACTOR IN A LEADING ROLE,Paul Newman,Cool Hand Luke,FALSE,white
1967,1968,40,ACTOR IN A LEADING ROLE,Rod Steiger,In the Heat of the Night,TRUE,white
1967,1968,40,ACTOR IN A LEADING ROLE,Spencer Tracy,Guess Who's Coming to Dinner,FALSE,white
1968,1969,41,ACTOR IN A LEADING ROLE,Alan Arkin,The Heart Is a Lonely Hunter,FALSE,white
1968,1969,41,ACTOR IN A LEADING ROLE,Alan Bates,The Fixer,FALSE,white
1968,1969,41,ACTOR IN A LEADING ROLE,Ron Moody,Oliver!,FALSE,white
1968,1969,41,ACTOR IN A LEADING ROLE,Peter O'Toole,The Lion in Winter,FALSE,white
1968,1969,41,ACTOR IN A LEADING ROLE,Cliff Robertson,Charly,TRUE,white
1969,1970,42,ACTOR IN A LEADING ROLE,Richard Burton,Anne of the Thousand Days,FALSE,white
1969,1970,42,ACTOR IN A LEADING ROLE,Dustin Hoffman,Midnight Cowboy,FALSE,white
1969,1970,42,ACTOR IN A LEADING ROLE,Peter O'Toole,"Goodbye, Mr. Chips",FALSE,white
1969,1970,42,ACTOR IN A LEADING ROLE,Jon Voight,Midnight Cowboy,FALSE,white
1969,1970,42,ACTOR IN A LEADING ROLE,John Wayne,True Grit,TRUE,white
1970,1971,43,ACTOR IN A LEADING ROLE,Melvyn Douglas,I Never Sang for My Father,FALSE,white
1970,1971,43,ACTOR IN A LEADING ROLE,James Earl Jones,The Great White Hope,FALSE,black
1970,1971,43,ACTOR IN A LEADING ROLE,Jack Nicholson,Five Easy Pieces,FALSE,white
1970,1971,43,ACTOR IN A LEADING ROLE,Ryan O'Neal,Love Story,FALSE,white
1970,1971,43,ACTOR IN A LEADING ROLE,George C. Scott,Patton,TRUE,white
