id,year_film,year_ceremony,ceremony,category,name,film,winner,race,fixed_race
99,1949,1950,22,ACTOR IN A LEADING ROLE,Gregory Peck,Twelve O'Clock High,FALSE,white,white
100,1949,1950,22,ACTOR IN A LEADING ROLE,Richard Todd,The Hasty Heart,FALSE,white,white
101,1949,1950,22,ACTOR IN A LEADING ROLE,John Wayne,Sands of Iwo Jima,FALSE,white,white
102,1950,1951,23,ACTOR IN A LEADING ROLE,Louis Calhern,The Magnificent Yankee,FALSE,white,white
103,1950,1951,23,ACTOR IN A LEADING ROLE,José Ferrer,Cyrano de Bergerac,TRUE,hispanic,hispanic
104,1950,1951,23,ACTOR IN A LEADING ROLE,William Holden,Sunset Blvd.,FALSE,white,white
105,1950,1951,23,ACTOR IN A LEADING ROLE,James Stewart,Harvey,FALSE,white,white
106,1950,1951,23,ACTOR IN A LEADING ROLE,Spencer Tracy,Father of the Bride,FALSE,white,white
107,1951,1952,24,ACTOR IN A LEADING ROLE,Humphrey Bogart,The African Queen,TRUE,white,white
108,1951,1952,24,ACTOR IN A LEADING ROLE,Marlon Brando,A Streetcar Named Desire,FALSE,white,white
109,1951,1952,24,ACTOR IN A LEADING ROLE,Montgomery Clift,A Place in the Sun,FALSE,white,white
110,1951,1952,24,ACTOR IN A LEADING ROLE,Arthur Kennedy,Bright Victory,FALSE,white,white
111,1951,1952,24,ACTOR IN A LEADING ROLE,Fredric March,Death of a Salesman,FALSE,white,white
112,1952,1953,25,ACTOR IN A LEADING ROLE,Marlon Brando,Viva Zapata!,FALSE,white,white
113,1952,1953,25,ACTOR IN A LEADING ROLE,Gary Cooper,High Noon,TRUE,white,white
114,1952,1953,25,ACTOR IN A LEADING ROLE,Kirk Douglas,The Bad and the Beautiful,FALSE,white,white
115,1952,1953,25,ACTOR IN A LEADING ROLE,José Ferrer,Moulin Rouge,FALSE,hispanic,hispanic
116,1952,1953,25,ACTOR IN A LEADING ROLE,Alec Guinness,The Lavender Hill Mob,FALSE,white,white
117,1953,1954,26,ACTOR IN A LEADING ROLE,Marlon Brando,Julius Caesar,FALSE,white,white
118,1953,1954,26,ACTOR IN A LEADING ROLE,Richard Burton,The Robe,FALSE,white,white
119,1953,1954,26,ACTOR IN A LEADING ROLE,Montgomery Clift,From Here to Eternity,FALSE,white,white
120,1953,1954,26,ACTOR IN A LEADING ROLE,William Holden,Stalag 17,TRUE,white,white
121,1953,1954,26,ACTOR IN A LEADING ROLE,Burt Lancaster,From Here to Eternity,FALSE,white,white
122,1954,1955,27,ACTOR IN A LEADING ROLE,Humphrey Bogart,The Caine Mutiny,FALSE,white,white
123,1954,1955,27,ACTOR IN A LEADING ROLE,Marlon Brando,On the Waterfront,TRUE,white,white
124,1954,1955,27,ACTOR IN A LEADING ROLE,Bing Crosby,The Country Girl,FALSE,white,white
125,1954,1955,27,ACTOR IN A LEADING ROLE,James Mason,A Star Is Born,FALSE,white,white
126,1954,1955,27,ACTOR IN A LEADING ROLE,Dan O'Herlihy,Adventures of Robinson Crusoe,FALSE,white,white
127,1955,1956,28,ACTOR IN A LEADING ROLE,Ernest Borgnine,Marty,TRUE,white,white
128,1955,1956,28,ACTOR IN A LEADING ROLE,James Cagney,Love Me or Leave Me,FALSE,white,white
129,1955,1956,28,ACTOR IN A LEADING ROLE,James Dean,East of Eden,FALSE,white,white
130,1955,1956,28,ACTOR IN A LEADING ROLE,Frank Sinatra,The Man with the Golden Arm,FALSE,white,white
131,1955,1956,28,ACTOR IN A LEADING ROLE,Spencer Tracy,Bad Day at Black Rock,FALSE,white,white
132,1956,1957,29,ACTOR IN A LEADING ROLE,Yul Brynner,The King and I,TRUE,asian,asian
133,1956,1957,29,ACTOR IN A LEADING ROLE,James Dean,Giant,FALSE,white,white
134,1956,1957,29,ACTOR IN A LEADING ROLE,Kirk Douglas,Lust for Life,FALSE,white,white
135,1956,1957,29,ACTOR IN A LEADING ROLE,Rock Hudson,Giant,FALSE,white,white
136,1956,1957,29,ACTOR IN A LEADING ROLE,Sir Laurence Olivier,Richard III,FALSE,white,white
137,1957,1958,30,ACTOR IN A LEADING ROLE,Marlon Brando,Sayonara,FALSE,white,white
138,1957,1958,30,ACTOR IN A LEADING ROLE,Anthony Franciosa,A Hatful of Rain,FALSE,white,white
139,1957,1958,30,ACTOR IN A LEADING ROLE,Alec Guinness,The Bridge on the River Kwai,TRUE,white,white
140,1957,1958,30,ACTOR IN A LEADING ROLE,Charles Laughton,Witness for the Prosecution,FALSE,white,white
141,1957,1958,30,ACTOR IN A LEADING ROLE,Anthony Quinn,Wild Is the Wind,FALSE,hispanic,hispanic
142,1958,1959,31,ACTOR IN A LEADING ROLE,Tony Curtis,The Defiant Ones,FALSE,white,white
143,1958,1959,31,ACTOR IN A LEADING ROLE,Paul Newman,Cat on a Hot Tin Roof,FALSE,white,white
144,1958,1959,31,ACTOR IN A LEADING ROLE,David Niven,Separate Tables,TRUE,white,white
145,1958,1959,31,ACTOR IN A LEADING ROLE,Sidney Poitier,The Defiant Ones,FALSE,black,black
146,1958,1959,31,ACTOR IN A LEADING ROLE,Spencer Tracy,The Old Man and the Sea,FALSE,white,white
147,1959,1960,32,ACTOR IN A LEADING ROLE,Laurence Harvey,Room at the Top,FALSE,white,white
148,1959,1960,32,ACTOR IN A LEADING ROLE,Charlton Heston,Ben-Hur,TRUE,white,white
149,1959,1960,32,ACTOR IN A LEADING ROLE,Jack Lemmon,Some Like It Hot,FALSE,white,white
