,Unnamed: 0,year_film,year_award,ceremony,category,nominee,film,win,single_award,race
2372,3405,1983,1984,41,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Rachel Ward,"Thorn Birds, The",False,True,White
2373,5550,2000,2001,58,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Rachel Ward,On the Beach (2000),False,True,White
2374,3413,1983,1984,41,Best Performance by an Actress In A Television Series - Drama,Tyne Daly,Cagney & Lacey,False,True,White
2375,3538,1984,1985,42,Best Performance by an Actress In A Television Series - Drama,Tyne Daly,Cagney & Lacey,False,True,White
2376,3662,1985,1986,43,Best Performance by an Actress In A Television Series - Drama,Tyne Daly,Cagney & Lacey,True,True,White
2377,3794,1986,1987,44,Best Performance by an Actress In A Television Series - Drama,Tyne Daly,Cagney & Lacey,False,True,White
2378,4825,1994,1995,52,Best Performance by an Actress in a Supporting Role in a Series: Limited Series or Motion Picture Made for Television,Tyne Daly,Christy,False,True,White
2379,3421,1983,1984,41,Best Performance by an Actress in a Television Series - Musical or Comedy,Joanna Cassidy,Buffalo Bill,True,True,White
2380,3427,1983,1984,41,Best Performance by an Actor in a Television Series - Musical or Comedy,Dabney Coleman,Buffalo Bill,False,True,White
2381,3934,1987,1988,45,Best Performance by an Actor in a Television Series - Musical or Comedy,Dabney Coleman,"Slap Maxwell Story, The",True,True,White
2382,3947,1987,1988,45,Best Performance by an Actor in a Supporting Role in a Series: Limited Series or Motion Picture Made for Television,Dabney Coleman,Sworn To Silence,False,True,White
2383,3428,1983,1984,41,Best Performance by an Actor in a Television Series - Musical or Comedy,Ted Danson,Cheers,False,True,White
2384,3531,1984,1985,42,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Ted Danson,Something About Amelia,True,True,White
2385,3555,1984,1985,42,Best Performance by an Actor in a Television Series - Musical or Comedy,Ted Danson,Cheers,False,True,White
2386,3679,1985,1986,43,Best Performance by an Actor in a Television Series - Musical or Comedy,Ted Danson,Cheers,False,True,White
2387,3808,1986,1987,44,Best Performance by an Actor in a Television Series - Musical or Comedy,Ted Danson,Cheers,False,True,White
2388,4066,1988,1989,46,Best Performance by an Actor in a Television Series - Musical or Comedy,Ted Danson,Cheers,False,True,White
2389,4191,1989,1990,47,Best Performance by an Actor in a Television Series - Musical or Comedy,Ted Danson,Cheers,True,True,White
2390,4316,1990,1991,48,Best Performance by an Actor in a Television Series - Musical or Comedy,Ted Danson,Cheers,True,True,White
2391,4442,1991,1992,49,Best Performance by an Actor in a Television Series - Musical or Comedy,Ted Danson,Cheers,False,True,White
2392,4565,1992,1993,50,Best Performance by an Actor in a Television Series - Musical or Comedy,Ted Danson,Cheers,False,True,White
2393,5577,2000,2001,58,Best Performance by an Actor in a Television Series - Musical or Comedy,Ted Danson,Becker,False,True,White
