year_film,year_ceremony,ceremony,category,name,film,winner,race,fixed_race
1997,1998,55,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Michael Caine,Mandela and De Klerk,False,unknown,unknown
1997,1998,55,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",David Hyde-Pierce,Frasier,False,unknown,unknown
1997,1998,55,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Eriq La Salle,ER,False,unknown,unknown
1997,1998,55,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Noah Wyle,ER,False,unknown,unknown
1998,1999,56,Best Performance by an Actress in a Motion Picture - Drama,Cate Blanchett,Elizabeth,True,white,white
1998,1999,56,Best Performance by an Actress in a Motion Picture - Drama,Fernanda Montenegro,Central Station,False,hispanic,hispanic
1998,1999,56,Best Performance by an Actress in a Motion Picture - Drama,Susan Sarandon,Stepmom,False,unknown,unknown
1998,1999,56,Best Performance by an Actress in a Motion Picture - Drama,Meryl Streep,One True Thing,False,white,white
1998,1999,56,Best Performance by an Actress in a Motion Picture - Drama,Emily Watson,Hilary and Jackie,False,white,white
1998,1999,56,Best Performance by an Actor in a Motion Picture - Drama,Jim Carrey,The Truman Show,True,unknown,unknown
1998,1999,56,Best Performance by an Actor in a Motion Picture - Drama,Stephen Fry,Wilde,False,unknown,unknown
1998,1999,56,Best Performance by an Actor in a Motion Picture - Drama,Tom Hanks,Saving Private Ryan,False,white,white
1998,1999,56,Best Performance by an Actor in a Motion Picture - Drama,Ian McKellen,Gods and Monsters,False,white,white
1998,1999,56,Best Performance by an Actor in a Motion Picture - Drama,Nick Nolte,Affliction,False,white,white
1998,1999,56,Best Director - Motion Picture,Steven Spielberg,Saving Private Ryan,True,white,white
1998,1999,56,Best Director - Motion Picture,Shekhar Kapur,Elizabeth,False,unknown,unknown
1998,1999,56,Best Director - Motion Picture,John Madden,Shakespeare in Love,False,white,white
1998,1999,56,Best Director - Motion Picture,Robert Redford,"Horse Whisperer, The",False,unknown,unknown
1998,1999,56,Best Director - Motion Picture,Peter Weir,The Truman Show,False,white,white
1998,1999,56,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Faye Dunaway,Gia,True,unknown,unknown
1998,1999,56,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Camryn Manheim,"Practice, The",True,unknown,unknown
1998,1999,56,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jane Krakowski,Ally McBeal,False,unknown,unknown
1998,1999,56,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Wendie Malick,Just Shoot Me!,False,unknown,unknown
1998,1999,56,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Susan Sullivan,Dharma & Greg,False,unknown,unknown
1998,1999,56,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Helena Bonham Carter,Merlin,False,unknown,unknown
1998,1999,56,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Don Cheadle,"Rat Pack, The",True,unknown,unknown
1998,1999,56,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Gregory Peck,Moby Dick,True,unknown,unknown
1998,1999,56,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Joe Mantegna,"Rat Pack, The",False,unknown,unknown
1998,1999,56,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",David Spade,Just Shoot Me!,False,unknown,unknown
1998,1999,56,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Noah Wyle,ER,False,unknown,unknown
1999,2000,57,Best Performance by an Actress in a Motion Picture - Drama,Hilary Swank,Boys Don't Cry,True,white,white
1999,2000,57,Best Performance by an Actress in a Motion Picture - Drama,Julianne Moore,The End of the Affair,False,white,white
1999,2000,57,Best Performance by an Actress in a Motion Picture - Drama,Meryl Streep,Music of the Heart,False,white,white
1999,2000,57,Best Performance by an Actress in a Motion Picture - Drama,Sigourney Weaver,"Map of the World, A",False,unknown,unknown
1999,2000,57,Best Performance by an Actress in a Motion Picture - Drama,Annette Bening,American Beauty,False,white,white
1999,2000,57,Best Performance by an Actor in a Motion Picture - Drama,Denzel Washington,"Hurricane, The",True,black,black
1999,2000,57,Best Performance by an Actor in a Motion Picture - Drama,Russell Crowe,The Insider,False,white,white
1999,2000,57,Best Performance by an Actor in a Motion Picture - Drama,Matt Damon,The Talented Mr. Ripley,False,unknown,unknown
1999,2000,57,Best Performance by an Actor in a Motion Picture - Drama,Richard Farnsworth,The Straight Story,False,white,white
1999,2000,57,Best Performance by an Actor in a Motion Picture - Drama,Kevin Spacey,American Beauty,False,white,white
1999,2000,57,Best Director - Motion Picture,Sam Mendes,American Beauty,True,white,white
1999,2000,57,Best Director - Motion Picture,Norman Jewison,"Hurricane, The",False,unknown,unknown
1999,2000,57,Best Director - Motion Picture,Neil Jordan,The End of the Affair,False,unknown,unknown
1999,2000,57,Best Director - Motion Picture,Michael Mann,The Insider,False,white,white
1999,2000,57,Best Director - Motion Picture,Anthony Minghella,The Talented Mr. Ripley,False,unknown,unknown
1999,2000,57,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Nancy Marchand,"Sopranos, The",True,unknown,unknown
1999,2000,57,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Kim Cattrall,Sex and The City,False,unknown,unknown
1999,2000,57,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Melanie Griffith,RKO 281,False,unknown,unknown
1999,2000,57,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Cynthia Nixon,Sex and The City,False,unknown,unknown
1999,2000,57,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Miranda Richardson,"Big Brass Ring, The",False,unknown,unknown
1999,2000,57,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Kathy Bates,Annie (2000),False,unknown,unknown
1999,2000,57,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jacqueline Bisset,Joan of Arc,False,unknown,unknown
1999,2000,57,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Peter Fonda,"Passion of Ayn Rand, The",True,unknown,unknown
1999,2000,57,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Klaus Maria Brandauer,Introducing Dorothy Dandridge,False,unknown,unknown
1999,2000,57,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Sean P. Hayes,Will & Grace,False,unknown,unknown
1999,2000,57,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Chris Noth,Sex and The City,False,unknown,unknown
1999,2000,57,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Peter O'Toole,Joan of Arc,False,unknown,unknown
1999,2000,57,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",David Spade,Just Shoot Me!,False,unknown,unknown
2000,2001,58,Best Performance by an Actress in a Motion Picture - Drama,Julia Roberts,Erin Brockovich,True,white,white
2000,2001,58,Best Performance by an Actress in a Motion Picture - Drama,Laura Linney,You Can Count On Me,False,white,white
2000,2001,58,Best Performance by an Actress in a Motion Picture - Drama,Joan Allen,"Contender, The",False,white,white
2000,2001,58,Best Performance by an Actress in a Motion Picture - Drama,Björk,Dancer In The Dark,False,unknown,unknown
2000,2001,58,Best Performance by an Actress in a Motion Picture - Drama,Ellen Burstyn,Requiem For a Dream,False,white,white
2000,2001,58,Best Performance by an Actor in a Motion Picture - Drama,Tom Hanks,Cast Away,True,white,white
2000,2001,58,Best Performance by an Actor in a Motion Picture - Drama,Javier Bardem,Before Night Falls,False,white,white
2000,2001,58,Best Performance by an Actor in a Motion Picture - Drama,Russell Crowe,Gladiator,False,white,white
2000,2001,58,Best Performance by an Actor in a Motion Picture - Drama,Michael Douglas,Wonder Boys,False,unknown,unknown
2000,2001,58,Best Performance by an Actor in a Motion Picture - Drama,Geoffrey Rush,Quills,False,white,white
2000,2001,58,Best Director - Motion Picture,Ang Lee,"Crouching Tiger, Hidden Dragon",True,asian,asian
2000,2001,58,Best Director - Motion Picture,Ridley Scott,Gladiator,False,white,white
2000,2001,58,Best Director - Motion Picture,Steven Soderbergh,Erin Brockovich,False,white,white
2000,2001,58,Best Director - Motion Picture,Steven Soderbergh,Traffic,False,white,white
2000,2001,58,Best Director - Motion Picture,István Szabó,Sunshine,False,unknown,unknown
2000,2001,58,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Vanessa Redgrave,If These Walls Could Talk 2,True,unknown,unknown
2000,2001,58,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Kim Cattrall,Sex and The City,False,unknown,unknown
2000,2001,58,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Faye Dunaway,Running Mates,False,unknown,unknown
2000,2001,58,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Allison Janney,"West Wing, The",False,unknown,unknown
2000,2001,58,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Megan Mullally,Will & Grace,False,unknown,unknown
2000,2001,58,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Cynthia Nixon,Sex and The City,False,unknown,unknown
2000,2001,58,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Robert Downey Jr.,Ally McBeal,True,unknown,unknown
2000,2001,58,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Sean P. Hayes,Will & Grace,False,unknown,unknown
2000,2001,58,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",David Hyde-Pierce,Frasier,False,unknown,unknown
2000,2001,58,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",John Mahoney,Frasier,False,unknown,unknown
2000,2001,58,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Christopher Plummer,American Tragedy,False,unknown,unknown
2000,2001,58,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Bradley Whitford,"West Wing, The",False,unknown,unknown
2001,2002,59,Best Performance by an Actress in a Motion Picture - Drama,Sissy Spacek,In the Bedroom,True,white,white
2001,2002,59,Best Performance by an Actress in a Motion Picture - Drama,"Deep End, The",,False,unknown,unknown
2001,2002,59,Best Performance by an Actress in a Motion Picture - Drama,Halle Berry,Monster's Ball,False,black,black
2001,2002,59,Best Performance by an Actress in a Motion Picture - Drama,Judi Dench,Iris,False,white,white
2001,2002,59,Best Performance by an Actress in a Motion Picture - Drama,Nicole Kidman,"Others, The",False,white,white
2001,2002,59,Best Performance by an Actor in a Motion Picture - Drama,Russell Crowe,A Beautiful Mind,True,white,white
2001,2002,59,Best Performance by an Actor in a Motion Picture - Drama,Kevin Spacey,The Shipping News,False,unknown,unknown
2001,2002,59,Best Performance by an Actor in a Motion Picture - Drama,Will Smith,Ali,False,black,black
2001,2002,59,Best Performance by an Actor in a Motion Picture - Drama,Billy Bob Thornton,"Man Who Wasn't There, The",False,unknown,unknown
2001,2002,59,Best Performance by an Actor in a Motion Picture - Drama,Denzel Washington,Training Day,False,black,black
2001,2002,59,Best Director - Motion Picture,Robert Altman,Gosford Park,True,white,white
2001,2002,59,Best Director - Motion Picture,Ron Howard,A Beautiful Mind,False,white,white
2001,2002,59,Best Director - Motion Picture,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,False,white,white
2001,2002,59,Best Director - Motion Picture,Baz Luhrmann,Moulin Rouge!,False,unknown,unknown
2001,2002,59,Best Director - Motion Picture,David Lynch,Mulholland Dr.,False,white,white
2001,2002,59,Best Director - Motion Picture,Steven Spielberg,A. I.: Artificial Intelligence,False,unknown,unknown
2001,2002,59,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Rachel Griffiths,Six Feet Under,True,unknown,unknown
2001,2002,59,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jennifer Aniston,Friends,False,unknown,unknown
2001,2002,59,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Tammy Blanchard,Life With Judy Garland: Me & My Shadows,False,unknown,unknown
2001,2002,59,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Allison Janney,"West Wing, The",False,unknown,unknown
2001,2002,59,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Megan Mullally,Will & Grace,False,unknown,unknown
2001,2002,59,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Stanley Tucci,Conspiracy,True,unknown,unknown
2001,2002,59,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",John Corbett,Sex and The City,False,unknown,unknown
2001,2002,59,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Sean P. Hayes,Will & Grace,False,unknown,unknown
2001,2002,59,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Ron Livingston,Band of Brothers,False,unknown,unknown
2001,2002,59,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Bradley Whitford,"West Wing, The",False,unknown,unknown
2002,2003,60,Best Performance by an Actress in a Motion Picture - Drama,Nicole Kidman,The Hours,True,white,white
2002,2003,60,Best Performance by an Actress in a Motion Picture - Drama,Salma Hayek,Frida,False,hispanic,hispanic
2002,2003,60,Best Performance by an Actress in a Motion Picture - Drama,Diane Lane,Unfaithful,False,white,white
2002,2003,60,Best Performance by an Actress in a Motion Picture - Drama,Julianne Moore,Far From Heaven,False,white,white
2002,2003,60,Best Performance by an Actress in a Motion Picture - Drama,Meryl Streep,The Hours,False,white,white
2002,2003,60,Best Performance by an Actor in a Motion Picture - Drama,Jack Nicholson,About Schmidt,True,white,white
