,Unnamed: 0,year_ceremony,category,name,film,winner,single_award,race
853,2496,2011 - 17th Annual,MALE TV MOVIE OR MINISERIES,PATRICK STEWART,MACBETH (GREAT PERFORMANCES),False,True,White
854,4873,2000 - 6th Annual,MALE TV MOVIE OR MINISERIES,PATRICK STEWART,A CHRISTMAS CAROL,False,True,White
855,5708,1995 - 1st Annual,MALE DRAMA SERIES,PATRICK STEWART,STAR TREK:  THE NEXT GENERATION,False,True,White
856,2497,2011 - 17th Annual,MALE TV MOVIE OR MINISERIES,DENNIS QUAID,THE SPECIAL RELATIONSHIP,False,True,White
857,4291,2003 - 9th Annual,MALE SUPPORTING ROLE,DENNIS QUAID,FAR FROM HEAVEN,False,True,White
858,2499,2011 - 17th Annual,MALE TV MOVIE OR MINISERIES,JOHN GOODMAN,YOU DON'T KNOW JACK,False,True,White
859,5702,1995 - 1st Annual,MALE COMEDY SERIES,JOHN GOODMAN,ROSEANNE,False,True,White
860,2699,2010 - 16th Annual,FEMALE LEAD ROLE,CAREY MULLIGAN,AN EDUCATION,False,True,White
861,2701,2010 - 16th Annual,FEMALE LEAD ROLE,GABOUREY SIDIBE,PRECIOUS,False,True,Black
862,2704,2010 - 16th Annual,FEMALE SUPPORTING ROLE,DIANE KRUGER,INGLOURIOUS BASTERDS,False,True,White
863,2706,2010 - 16th Annual,FEMALE SUPPORTING ROLE,"MONIQUE ANGELA ""Mo'NIQUE"" HICKS",PRECIOUS,True,True,Black
864,2707,2010 - 16th Annual,FEMALE SUPPORTING ROLE,ANNA KENDRICK,UP IN THE AIR,False,True,White
865,2708,2010 - 16th Annual,FEMALE SUPPORTING ROLE,VERA FARMINGA,UP IN THE AIR,False,True,White
866,2709,2010 - 16th Annual,FEMALE TV MOVIE OR MINISERIES,RUBY DEE,AMERICA,False,True,Black
867,3214,2008 - 14th Annual,FEMALE SUPPORTING ROLE,RUBY DEE,AMERICAN GANGSTER,True,True,Black
868,4658,2001 - 7th Annual,LIFE ACHIEVEMENT,RUBY DEE,,True,True,Black
869,2710,2010 - 16th Annual,FEMALE TV MOVIE OR MINISERIES,JOAN ALLEN,GEORGIA O'KEEFFE,False,True,White
870,4646,2001 - 7th Annual,FEMALE LEAD ROLE,JOAN ALLEN,THE CONTENDER,False,True,White
871,5552,1996 - 2nd Annual,FEMALE LEAD ROLE,JOAN ALLEN,NIXON,False,True,White
872,2711,2010 - 16th Annual,FEMALE TV MOVIE OR MINISERIES,DREW BARRYMORE,GREY GARDENS,True,True,White
873,2719,2010 - 16th Annual,MALE COMEDY SERIES,CHARLIE SHEEN,TWO AND A HALF MEN,False,True,White
874,3911,2005 - 11th Annual,MALE COMEDY SERIES,CHARLIE SHEEN,TWO AND A HALF MEN,False,True,White
875,2724,2010 - 16th Annual,MALE DRAMA SERIES,SIMON BAKER,THE MENTALIST,False,True,White
876,2727,2010 - 16th Annual,MALE LEAD ROLE,MORGAN FREEMAN,INVICTUS,False,True,Black
877,3925,2005 - 11th Annual,MALE SUPPORTING ROLE,MORGAN FREEMAN,MILLION DOLLAR BABY,True,True,Black
878,5712,1995 - 1st Annual,MALE LEAD ROLE,MORGAN FREEMAN,THE SHAWSHANK REDEMPTION,False,True,Black
879,2730,2010 - 16th Annual,MALE SUPPORTING ROLE,CHRISTOPH WALTZ,INGLOURIOUS BASTERDS,True,True,White
880,2733,2010 - 16th Annual,MALE SUPPORTING ROLE,STANLEY TUCCI,THE LOVELY BONES,False,True,White
881,5056,1999 - 5th Annual,MALE TV MOVIE OR MINISERIES,STANLEY TUCCI,WINCHELL,False,True,White
882,2735,2010 - 16th Annual,MALE TV MOVIE OR MINISERIES,TOM WILKINSON,A NUMBER,False,True,White
883,2983,2009 - 15th Annual,MALE TV MOVIE OR MINISERIES,TOM WILKINSON,JOHN ADAMS,False,True,White
884,3242,2008 - 14th Annual,MALE SUPPORTING ROLE,TOM WILKINSON,MICHAEL CLAYTON,False,True,White
885,4480,2002 - 8th Annual,MALE LEAD ROLE,TOM WILKINSON,IN THE BEDROOM,False,True,White
886,2737,2010 - 16th Annual,MALE TV MOVIE OR MINISERIES,"CUBA GOODING, JR.",GIFTED HANDS: THE BEN CARSON STORY,False,True,Black
887,5400,1997 - 3rd Annual,MALE SUPPORTING ROLE,"CUBA GOODING, JR.",JERRY MAGUIRE,True,True,Black
888,2738,2010 - 16th Annual,MALE TV MOVIE OR MINISERIES,KEVIN KLINE,GREAT PREFORMANCES: CYRANO de BERGERAC,False,True,White
889,3246,2008 - 14th Annual,MALE TV MOVIE OR MINISERIES,KEVIN KLINE,AS YOU LIKE IT,True,True,White
